"group","mean_outcome","sd_outcome","n"
"1.0.0",17.3952883528134,3.98214177902502,6
"2.0.0",20.7674415784805,4.40659082244652,9
"3.0.0",18.3663711675898,3.27555015798611,9
"1.1.0",15.3645495197644,5.66677558334693,5
"2.1.0",18.5685452797296,4.30633120889859,7
"3.1.0",16.893289010546,4.5754557233727,6
"1.0.1",22.6646541218373,4.37459671255869,5
"2.0.1",20.7473165285362,5.02300349610805,10
"3.0.1",21.1082949165238,4.8105239771796,10
"1.1.1",18.4021223741723,3.16966238179778,14
"2.1.1",20.3275638620376,5.11619714251324,10
"3.1.1",21.1726289925176,4.65092547000363,9
