"group","mean_outcome","sd_outcome","n"
1,17.3952883528134,3.98214177902502,6
2,20.7674415784805,4.40659082244652,9
3,18.3663711675898,3.27555015798611,9
4,15.3645495197644,5.66677558334693,5
5,18.5685452797296,4.30633120889859,7
6,16.893289010546,4.5754557233727,6
7,22.6646541218373,4.37459671255869,5
8,20.7473165285362,5.02300349610805,10
9,21.1082949165238,4.8105239771796,10
10,18.4021223741723,3.16966238179778,14
11,20.3275638620376,5.11619714251324,10
12,21.1726289925176,4.65092547000363,9
