"race_num_r","south_r","union_r","mean_R","mean_Stata","mean_diff","sd_R","sd_Stata","sd_diff"
"black",0,0,17.3952883528134,17.395288,3.52813398052376e-07,3.98214177902502,3.9821415,2.79025019978008e-07
"black",0,1,22.6646541218373,22.664654,1.21837302913264e-07,4.37459671255869,4.3745966,1.12558689480124e-07
"black",1,0,15.3645495197644,15.36455,-4.80235598843137e-07,5.66677558334693,5.6667752,3.8334693019948e-07
"black",1,1,18.4021223741723,18.402122,3.74172302031184e-07,3.16966238179778,3.1696625,-1.18202220011909e-07
"other",0,0,20.7674415784805,20.767441,5.78480499058287e-07,4.40659082244652,4.4065909,-7.75534800823152e-08
"other",0,1,20.7473165285362,20.747316,5.28536197919038e-07,5.02300349610805,5.0230036,-1.03891950153923e-07
"other",1,0,18.5685452797296,18.568546,-7.20270399767742e-07,4.30633120889859,4.3063312,8.89859030905882e-09
"other",1,1,20.3275638620376,20.327564,-1.37962398838454e-07,5.11619714251324,5.1161971,4.25132400394546e-08
"white",0,0,18.3663711675898,18.366371,1.6758979981546e-07,3.27555015798611,3.2755504,-2.42013890261461e-07
"white",0,1,21.1082949165238,21.108295,-8.34761983981025e-08,4.8105239771796,4.8105235,4.77179599833732e-07
"white",1,0,16.893289010546,16.89329,-9.89454001398826e-07,4.5754557233727,4.5754557,2.33727002196815e-08
"white",1,1,21.1726289925176,21.172628,9.92517598774612e-07,4.65092547000363,4.6509256,-1.29996370112906e-07
